Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
288,9,37,71,0,0,1778168599631,1778168599686,577288,0,0
290,10,0,37,0,0,1778168604086,1778168604163,466324,0,0
291,10,0,5,5,0,1778168605568,1778168605607,4595,4595,0
292,10,0,88,0,1,1778168607611,1778168607672,262166,0,1060
293,10,51,89,0,2,1778168609648,1778168609711,440144,0,2190
294,10,55,99,0,0,1778168611675,1778168611728,697546,0,0
295,10,0,91,0,0,1778168613616,1778168613697,820061,0,0
296,10,0,50,2,0,1778168615618,1778168615672,98257,3822,0
297,10,0,85,0,0,1778168617615,1778168617650,334269,0,0
298,10,0,98,0,6,1778168619616,1778168619652,556570,0,11844
299,10,0,91,0,0,1778168621628,1778168621691,723166,0,0
300,10,0,71,27,0,1778168623599,1778168623653,457233,21723,0
301,10,9,87,0,7,1778168625636,1778168625685,237486,0,7193
302,10,0,114,0,23,1778168627653,1778168627710,477181,0,33080
303,10,0,78,0,0,1778168629646,1778168629724,537208,0,0
304,10,0,72,0,0,1778168631643,1778168631707,638179,0,0
305,10,0,45,45,0,1778168633604,1778168633690,79502,79502,0
306,10,0,149,0,29,1778168635617,1778168635672,482813,0,28191
307,10,0,152,0,50,1778168637607,1778168637659,652534,0,65296
308,10,0,116,0,0,1778168639615,1778168639650,897533,0,0
309,10,0,71,37,0,1778168641598,1778168641650,355537,24707,0
310,10,18,106,0,13,1778168643635,1778168643698,268295,0,13543
311,10,0,129,0,33,1778168645607,1778168645671,502969,0,51303
312,10,0,96,0,0,1778168647617,1778168647692,645007,0,0
313,10,0,52,0,0,1778168649596,1778168649650,450904,0,0
314,10,0,5,5,0,1778168651579,1778168651637,8009,8009,0
315,10,130,254,0,169,1778168653767,1778168653860,532797,0,205157
316,10,2,224,0,133,1778168655648,1778168655722,922116,0,402911
317,10,0,87,0,2,1778168657606,1778168657670,653965,0,4022
319,11,0,10,6,0,1778168661755,1778168661825,56753,9567,0
320,11,0,40,40,0,1778168663585,1778168663642,58943,58943,0
321,11,14,104,0,11,1778168665616,1778168665655,339110,0,11080
322,11,0,128,0,33,1778168667617,1778168667685,575166,0,48079
323,11,0,102,0,0,1778168669611,1778168669666,767286,0,0
324,11,0,64,13,0,1778168671594,1778168671642,489088,5461,0
325,11,5,96,0,6,1778168673619,1778168673674,229025,0,6162
326,11,0,114,0,14,1778168675621,1778168675678,466529,0,19365
327,11,0,101,0,0,1778168677622,1778168677686,653930,0,0
328,11,0,78,0,0,1778168679620,1778168679697,661346,0,0
329,11,0,33,33,0,1778168681600,1778168681660,45412,45412,0
330,11,14,123,0,19,1778168683623,1778168683689,377528,0,19434
331,11,0,103,0,37,1778168685615,1778168685673,408357,0,51091
332,11,0,79,0,0,1778168687609,1778168687680,585015,0,0
333,11,2,94,25,0,1778168689734,1778168689796,667618,11025,0
334,11,0,135,0,6,1778168691695,1778168691772,323875,0,8042
335,11,0,108,0,9,1778168693636,1778168693701,440273,0,8361
336,11,0,86,0,0,1778168695668,1778168695722,548424,0,0
337,11,0,60,0,0,1778168697637,1778168697691,500362,0,0
338,11,0,60,60,0,1778168699639,1778168699681,76433,76433,0
339,11,26,119,0,5,1778168701678,1778168701760,390838,0,5370
340,11,0,172,0,55,1778168703712,1778168703777,716087,0,85640
341,11,0,88,0,0,1778168705664,1778168705716,644067,0,0
342,11,0,59,32,0,1778168707656,1778168707721,259508,7928,0
343,11,0,121,0,12,1778168709658,1778168709706,258428,0,11772
344,11,0,148,0,51,1778168711648,1778168711708,489108,0,76809
345,11,0,105,0,0,1778168713645,1778168713714,656122,0,0
346,11,0,54,0,0,1778168715626,1778168715673,442957,0,0
348,12,0,0,0,0,1778168719772,1778168719828,0,0,0
349,12,16,43,43,0,1778168721623,1778168721673,44319,44319,0
350,12,73,70,16,17,1778168723640,1778168723707,181891,49008,17462
351,12,52,129,0,43,1778168725640,1778168725681,506605,0,69792
352,12,45,102,0,0,1778168727636,1778168727700,722416,0,0
353,12,0,70,0,0,1778168729633,1778168729692,634156,0,0
354,12,0,59,13,6,1778168731624,1778168731678,117253,25438,11175
355,12,3,110,0,3,1778168733637,1778168733715,435438,0,3087
356,12,0,100,0,3,1778168735642,1778168735718,591182,0,6087
357,12,0,86,0,0,1778168737625,1778168737664,684357,0,0
358,12,0,61,19,0,1778168739633,1778168739691,435628,16801,0
359,12,0,95,0,4,1778168741642,1778168741686,270355,0,3960
360,12,0,114,0,13,1778168743653,1778168743720,517591,0,18230
361,12,0,99,0,0,1778168745641,1778168745695,683960,0,0
362,12,0,68,0,0,1778168747633,1778168747699,604984,0,0
363,12,0,29,1,0,1778168749629,1778168749673,53610,1770,0
364,12,4,90,0,1,1778168751653,1778168751718,346061,0,1040
365,12,0,89,0,4,1778168753649,1778168753703,504622,0,8096
366,12,0,94,0,0,1778168755645,1778168755720,736867,0,0
367,12,0,49,3,0,1778168757630,1778168757679,452173,2196,0
368,12,0,97,0,0,1778168759646,1778168759683,267601,0,0
369,12,0,96,0,2,1778168761669,1778168761727,453581,0,3080
370,12,0,79,0,0,1778168763664,1778168763731,536478,0,0
371,12,0,81,0,0,1778168765661,1778168765733,711855,0,0
372,12,0,76,36,0,1778168767647,1778168767703,129915,60396,0
373,12,15,106,0,13,1778168769652,1778168769714,360614,0,13065
374,12,0,114,0,36,1778168771646,1778168771716,497380,0,51030
375,12,0,103,0,0,1778168773679,1778168773758,797720,0,0
377,13,0,9,0,0,1778168777860,1778168777928,107139,0,0
378,13,0,54,54,0,1778168779631,1778168779717,86262,86262,0
379,13,19,126,0,26,1778168781655,1778168781739,390469,0,26296
380,13,42,140,0,43,1778168784115,1778168784211,674676,0,82453
381,13,0,88,0,0,1778168785801,1778168785896,684943,0,0
382,13,0,63,32,0,1778168787704,1778168787802,318972,18720,0
383,13,0,55,0,8,1778168789715,1778168789791,132406,0,7872
384,13,0,75,0,28,1778168791697,1778168791789,262745,0,45361
385,13,21,120,0,32,1778168793848,1778168793951,649405,0,54207
386,13,0,159,0,21,1778168795732,1778168795805,1228124,0,41471
387,13,0,84,17,0,1778168797709,1778168797764,127978,25568,0
388,13,5,113,0,18,1778168799807,1778168799885,366022,0,20087
389,13,0,100,0,13,1778168801728,1778168801808,502038,0,18439
390,13,0,94,0,0,1778168803764,1778168803837,712721,0,0
391,13,0,69,37,0,1778168805676,1778168805742,318327,14819,0
392,13,26,90,13,20,1778168807668,1778168807752,192299,31330,20048
393,13,26,152,0,29,1778168809686,1778168809773,606016,0,55565
394,13,4,146,0,26,1778168811716,1778168811791,829987,0,52794
395,13,0,100,0,8,1778168813692,1778168813749,786149,0,11833
396,13,0,27,27,0,1778168815647,1778168815704,33776,33776,0
397,13,27,135,0,22,1778168817670,1778168817721,399530,0,22305
398,13,0,144,0,54,1778168819675,1778168819711,558115,0,80814
399,13,0,110,0,0,1778168821707,1778168821775,808239,0,0
400,13,0,97,52,0,1778168823702,1778168823745,430303,11688,0
401,13,0,58,5,12,1778168825675,1778168825746,115723,11125,11928
402,13,1,140,0,43,1778168827714,1778168827764,475983,0,62248
403,13,0,96,0,1,1778168829738,1778168829809,600816,0,2046
404,13,0,86,0,0,1778168831669,1778168831744,707652,0,0
406,14,0,0,0,0,1778168836074,1778168836126,0,0,0
407,14,43,3,3,0,1778168837640,1778168837702,3135,3135,0
408,14,42,87,0,0,1778168839685,1778168839738,269796,0,0
409,14,47,92,0,5,1778168841668,1778168841731,448649,0,6103
410,14,50,94,0,0,1778168843743,1778168843792,671505,0,0
411,14,61,101,0,0,1778168845695,1778168845749,918605,0,0
412,14,162,233,61,34,1778168847739,1778168847820,471105,128236,47992
413,14,58,262,0,12,1778168849838,1778168849901,1077409,0,24218
414,14,0,120,0,0,1778168851668,1778168851722,722804,0,0
415,14,0,88,0,0,1778168853673,1778168853710,703949,0,0
416,14,0,26,25,0,1778168855659,1778168855726,33710,23700,0
417,14,21,108,4,31,1778168857704,1778168857759,263349,11924,31837
418,14,37,142,0,45,1778168859728,1778168859804,558347,0,69009
419,14,0,99,0,3,1778168861678,1778168861737,672079,0,2967
420,14,0,102,0,1,1778168863700,1778168863761,909745,0,2009
421,14,0,47,47,0,1778168865655,1778168865716,88141,88141,0
